"neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total"
"Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971
"Manhattan Community District 10--Central Harlem",63,157,1636
"Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556
"Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556
"Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556
"Manhattan Community District 10--Central Harlem",63,157,1636
"Manhattan Community District 7--Upper West Side & West Side",421,2509,39357
"Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680
"Manhattan Community District 7--Upper West Side & West Side",421,2509,39357
"Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680
"Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680
"Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
"Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
"Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
"Manhattan Community District 3--Chinatown & Lower East Side",341,4308,125319
"Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",100,7713,150511
"Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",100,7713,150511
"Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",100,7713,150511
"Manhattan Community District 3--Chinatown & Lower East Side",341,4308,125319
"Manhattan Community District 3--Chinatown & Lower East Side",341,4308,125319
"Manhattan Community District 8--Upper East Side",475,5816,198110
"Manhattan Community District 8--Upper East Side",475,5816,198110
"Manhattan Community District 11--East Harlem",77,741,10821
"Manhattan Community District 11--East Harlem",77,741,10821
"Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971
"Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971
"Manhattan Community District 8--Upper East Side",475,5816,198110
"Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
NA,578,73985,1139020
"Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27
"Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27
"Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27
NA,578,73985,1139020
NA,578,73985,1139020
NA,578,73985,1139020
NA,578,73985,1139020
NA,578,73985,1139020
NA,578,73985,1139020
