"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total"
"MN01","Marble Hill-Inwood","36","061","New York","Manhattan","1","3801","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971
"MN03","Central Harlem North-Polo Grounds","36","061","New York","Manhattan","1","3803","Manhattan Community District 10--Central Harlem","Manhattan Community District 10--Central Harlem",63,157,1636
"MN04","Hamilton Heights","36","061","New York","Manhattan","1","3802","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556
"MN06","Manhattanville","36","061","New York","Manhattan","1","3802","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556
"MN09","Morningside Heights","36","061","New York","Manhattan","1","3802","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556
"MN11","Central Harlem South","36","061","New York","Manhattan","1","3803","Manhattan Community District 10--Central Harlem","Manhattan Community District 10--Central Harlem",63,157,1636
"MN12","Upper West Side","36","061","New York","Manhattan","1","3806","Manhattan Community District 7--Upper West Side & West Side","Manhattan Community District 7--Upper West Side & West Side",421,2509,39357
"MN13","Hudson Yards-Chelsea-Flatiron-Union Square","36","061","New York","Manhattan","1","3807","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680
"MN14","Lincoln Square","36","061","New York","Manhattan","1","3806","Manhattan Community District 7--Upper West Side & West Side","Manhattan Community District 7--Upper West Side & West Side",421,2509,39357
"MN15","Clinton","36","061","New York","Manhattan","1","3807","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680
"MN17","Midtown-Midtown South","36","061","New York","Manhattan","1","3807","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680
"MN19","Turtle Bay-East Midtown","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
"MN20","Murray Hill-Kips Bay","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
"MN21","Gramercy","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901
